?yo,225
you,166
ou!,155
?i!,1
?th,562
the,676
he!,190
?to,659
to!,398
?a!,1
?it,69
it!,290
?an,636
and,1103
nd!,465
tha,249
hat,205
at!,306
?of,119
of!,38
?is,142
is!,529
?in,1295
in!,1112
?wh,366
wha,86
?we,342
we!,34
?me,795
me!,277
thi,279
his,152
?he,707
?fo,524
for,533
or!,522
?my,77
my!,108
?on,81
on!,2497
?ha,1120
hav,85
ave,342
ve!,484
our,407
ur!,216
?do,645
do!,235
?wa,592
was,92
as!,474
?no,457
no!,329
not,129
ot!,225
?be,952
be!,114
?ar,525
are,378
re!,711
don,229
?kn,123
kno,78
now,93
ow!,183
?ca,1388
can,312
an!,1822
?wi,472
wit,134
ith,190
th!,373
?bu,647
but,121
ut!,176
?al,530
all,1031
ll!,540
?so,569
so!,77
?ju,254
jus,77
ust,376
st!,842
her,797
ere,645
hey,35
ey!,692
?li,608
lik,68
ike,124
ke!,279
?ge,368
get,110
et!,428
?sh,1133
she,462
?go,467
go!,158
?if,20
if!,33
?ri,414
rig,220
igh,462
ght,451
ht!,170
?ou,180
out,387
?ab,271
abo,146
bou,157
?up,101
up!,79
?at,187
?hi,375
him,120
im!,119
?oh,29
oh!,30
one,580
ne!,993
?co,2291
com,548
ome,338
wel,170
ell,946
er!,3517
?ho,748
how,88
?ye,119
yea,27
eah,13
ah!,206
wil,142
ill,781
got,73
wan,128
ant,952
nt!,967
hin,562
ink,247
nk!,136
?as,362
?se,809
see,92
ee!,258
?di,1085
did,42
id!,221
goo,91
ood,310
od!,202
who,65
ho!,81
why,7
hy!,167
?fr,505
fro,111
rom,217
om!,178
?le,577
let,281
yes,31
es!,3734
whe,95
hen,219
en!,1020
goi,21
oin,159
ing,5129
ng!,4697
?ti,378
tim,212
ime,243
?ok,54
oka,77
kay,36
ay!,326
?ba,1204
bac,198
ack,554
ck!,524
?lo,561
loo,182
ook,240
ok!,129
?us,60
us!,856
?wo,347
wou,26
oul,120
uld,55
ld!,262
hem,126
em!,114
wer,174
?ta,761
tak,146
ake,365
had,94
ad!,284
?or,225
bee,78
een,238
gon,130
onn,157
nna,185
na!,735
?te,586
tel,250
?re,1888
rea,595
eal,193
lly,464
ly!,1466
?ma,2000
man,1159
som,119
?sa,1036
say,41
cou,261
idn,21
dn!,14
?by,43
by!,167
?ne,471
nee,116
eed,189
ed!,4774
met,222
eth,199
has,126
too,103
oo!,119
?mo,986
mor,347
ore,466
way,170
dow,139
own,218
wn!,121
mak,107
?ve,348
ver,976
ery,182
ry!,697
nev,40
eve,352
onl,30
nly,37
?pe,819
peo,18
eop,44
opl,38
ple,264
le!,1503
?ov,243
ove,527
bec,64
eca,99
cau,49
aus,133
use,323
se!,686
lit,434
itt,299
ttl,122
tle,314
?pl,311
lea,262
eas,261
ase,223
lov,96
sho,323
hou,222
mea,102
ean,199
sai,86
aid,91
sor,164
orr,187
rry,91
?gi,296
giv,30
ive,643
off,179
ff!,159
?am,301
am!,367
han,650
ank,259
any,74
ny!,205
?tw,115
two,35
wo!,6
?ev,153
ven,342
?mu,451
muc,28
uch,167
ch!,432
doi,20
?su,897
sur,238
ure,396
hes,321
ese,214
hel,231
elp,32
lp!,16
?fi,495
fir,129
irs,70
rst,146
int,636
nto,220
nyt,8
yth,49
?st,1287
sti,721
til,189
fin,226
ind,457
lif,134
ife,88
fe!,69
oth,236
?si,554
sir,41
ir!,162
?da,599
day,77
god,63
wor,275
ork,169
rk!,143
hei,117
eir,54
?uh,17
uh!,25
?ag,145
aga,166
gai,53
ain,507
may,68
ayb,24
ybe,26
mus,130
bef,17
efo,43
?ot,53
wai,66
ait,98
sto,508
top,110
op!,123
cal,573
?af,123
aft,96
fte,80
ter,1853
won,34
tal,404
alk,97
lk!,52
?aw,57
awa,215
tho,228
oug,152
ugh,206
hom,114
?ni,359
nig,107
?pu,359
put,81
?gr,712
gre,250
eat,352
hos,110
ose,284
?la,782
las,263
ast,575
bet,110
ett,462
tte,585
ryt,17
tol,108
old,216
new,97
ew!,91
ngs,334
gs!,410
alw,19
lwa,28
ays,122
ys!,203
?ke,295
kee,93
eep,166
ep!,68
lon,249
ong,334
ear,434
ars,250
rs!,1801
eav,72
doe,21
oes,52
mon,466
ney,161
aro,187
rou,302
oun,397
und,542
esn,17
sn!,9
?na,569
nam,108
ame,310
pla,337
lac,234
ace,296
ce!,605
?fe,355
fee,47
eel,127
el!,463
?gu,361
guy,10
uys,4
?fa,598
fat,79
ath,419
uy!,11
mad,116
ade,351
de!,420
?ol,85
isn,14
whi,169
hic,129
ich,291
?bi,424
big,35
ig!,63
lot,130
llo,290
lo!,181
nic,349
ice,232
bel,268
eli,457
lie,286
iev,82
gir,61
irl,71
rl!,40
meo,24
eon,135
ine,969
nks,75
ks!,396
nte,721
ted,1076
?ki,414
kin,610
omi,235
min,718
ous,663
thr,163
hro,139
gh!,123
bei,43
ein,189
urs,165
rse,214
sta,817
tay,29
lef,38
eft,25
ft!,89
dad,38
?en,452
eno,140
nou,107
hap,92
app,354
ppe,306
pen,302
ene,411
ned,378
cam,125
mot,185
?wr,107
wro,17
ron,441
orl,61
rld,24
bad,64
?mi,961
mig,59
hre,70
ree,372
tod,31
oda,62
lis,461
ist,1008
ste,969
ten,500
ano,261
?un,931
nde,774
der,908
ers,1778
tan,483
hea,400
ar!,515
rem,224
eme,308
mem,66
emb,146
mbe,166
ber,592
ask,75
